word,definition
hospital,"A place where medical treatment is provided."
hour,"A unit of time, equal to 60 minutes."
house,"A building for people to live in."
how,"In what manner or way."
hundred,"A number equal to 100."
idea,"A thought or suggestion as to a possible course of action."
identify,"To recognize or be able to name something."
imagine,"To form a mental image of something."
impact,"The effect or influence of one thing on another."
important,"Of great significance or value."
improve,"To make something better."
include,"To make something part of a whole."
increase,"To become larger or more."
information,"Data that is processed or organized to be meaningful."
inside,"Within something."
inspire,"To motivate or encourage someone."
instead,"In place of something."
interest,"The feeling of wanting to learn more about something."
invite,"To ask someone to come or participate."
issue,"An important topic or problem."
it,"A pronoun used to refer to something previously mentioned."
job,"A paid position of employment."
join,"To become a member of or connect with something."
journey,"A trip or travel from one place to another."
judge,"To form an opinion or decision about something."
jump,"To push oneself off the ground using the legs."
just,"Based on or behaving according to what is morally right."
keep,"To retain or hold onto something."
key,"A tool used to open locks or a significant part of something."
kid,"A child or young person."
kind,"A group of people or things with common characteristics."
king,"A male ruler of a country or territory."
know,"To be aware of something through experience or information."
land,"The part of the earth's surface not covered by water."
large,"Of considerable size or extent."
last,"Coming after all others in time or order."
late,"Occurring after the expected time."
laugh,"To make a sound expressing happiness or amusement."
law,"A system of rules created by a government or authority."
leader,"A person who leads or guides others."
learn,"To acquire knowledge or skills through study or experience."
leave,"To go away from or abandon a place."
less,"A smaller amount of something."
let,"To allow something to happen."
level,"A position or rank in a scale."
light,"The natural agent that makes things visible."
like,"To enjoy or have a preference for something."
limit,"To restrict the extent of something."
line,"A long, narrow mark or border."
listen,"To give attention to sound or speech."
live,"To remain alive or exist."
local,"Relating to a particular area or neighborhood."
long,"Extending a great distance in time or space."
look,"To direct one’s gaze toward something."
love,"A strong feeling of affection or care."
low,"At or near the bottom."
machine,"A device that uses mechanical power to perform tasks."
major,"Important or large in scope."
man,"An adult male person."
manage,"To be in charge of or control something."
many,"A large number of things or people."
market,"A place where goods and services are bought and sold."
material,"The substance or matter from which something is made."
measure,"To determine the size or amount of something."
meet,"To come together with someone or something."
member,"A person belonging to a group or organization."
mention,"To briefly refer to something."
message,"A communication or information conveyed to someone."
method,"A way of doing something."
middle,"The central point of something."
mind,"The part of a person that thinks, feels, and makes decisions."
minute,"A unit of time, equal to 60 seconds."
miss,"To fail to hit, catch, or reach something."
money,"A medium of exchange used for transactions."
month,"A unit of time, typically 30 or 31 days."
more,"A greater amount or degree."
morning,"The early part of the day."
move,"To change position or location."
music,"The art of combining sounds in a pleasing way."
name,"A word by which a person or thing is identified."
need,"Something required or essential."
new,"Recently created, discovered, or begun."
night,"The period of darkness in each twenty-four-hour cycle."
no,"A negative response or decision."
none,"Not any."
normal,"Conforming to a standard or typical pattern."
not,"Used to make a word or phrase negative."
nothing,"Not anything."
notice,"To observe or become aware of something."
now,"At the present moment."
number,"A quantity or count."
obtain,"To get or acquire something."
office,"A place where work is done, often in a business."
offer,"To present something for consideration or acceptance."
open,"To make something accessible or available."
opinion,"A personal belief or judgment."
order,"To request something to be made or delivered."
organization,"An organized body of people with a particular purpose."
other,"Referring to a different person or thing."
out,"Away from the inside or center."
outside,"The external side of something."
over,"Above or higher than something."
own,"To possess something."
pace,"A consistent speed in walking or running."
pack,"To fill or load something tightly."
pain,"Physical or emotional suffering."
paint,"To cover a surface with color or pigment."
paper,"A material used for writing or printing."
parent,"A mother or father of a child."
part,"A portion or piece of something."
pass,"To move past something or someone."
patient,"A person receiving medical care."
pattern,"A repeated or regular design."
pay,"To give money in exchange for goods or services."
peace,"A state of tranquility or calm."
people,"Human beings in general or a particular group."
perceive,"To become aware of something through the senses."
perform,"To carry out an action or task."
place,"A particular location or position."
plan,"A detailed proposal for doing something."
play,"To engage in a game or activity for enjoyment."
please,"To make someone happy or satisfied."
point,"A sharp end or location."
poll,"A survey to collect opinions or data."
poor,"Lacking sufficient resources or wealth."
power,"The ability to do or control something."
present,"To give or show something to someone."
prevent,"To stop something from happening."
price,"The amount of money required to buy something."
problem,"An issue or obstacle to be solved or dealt with."
process,"A series of actions or steps taken to achieve a result."
produce,"To make or create something."
product,"An item that is produced or manufactured."
program,"A set of instructions to perform a task."
project,"A planned effort to achieve a goal."
promote,"To encourage the growth or success of something."
property,"A piece of land or belongings."
protect,"To keep safe from harm or danger."
prove,"To demonstrate the truth or existence of something."
provide,"To supply what is needed."
public,"Relating to the community or general population."
pull,"To draw something toward oneself."
purpose,"The reason for which something is done or created."
quality,"The standard or level of something."
question,"A sentence that asks for information or clarification."
quick,"Done with speed."
quit,"To stop doing something."
race,"A competition to see who is fastest."
reach,"To extend one's arm to touch or take hold of something."
read,"To look at and understand written words."
ready,"Prepared or fit to do something."
real,"Existing or occurring in fact."
reason,"A cause or explanation for something."
receive,"To get something given or sent."
record,"To write down or store information."
reduce,"To make something smaller or less."
reflect,"To show or demonstrate something clearly."
regard,"To consider or think about something in a particular way."
relate,"To make a connection or association with something."
remember,"To recall or retain information."
remove,"To take something away."
repair,"To fix or restore something to its original condition."
repeat,"To do or say something again."
replace,"To take the place of something."
report,"A detailed account of something."
require,"To need something in order to be successful."
rescue,"To save someone or something from danger."
respond,"To give an answer or reply."
result,"An outcome or consequence of an action."
return,"To go back to a previous place."
reveal,"To make something known or visible."
right,"Correct or morally good."
rise,"To move upward or increase in level."
risk,"The possibility of harm or danger."
run,"To move swiftly on foot."
save,"To keep something safe or store for later."
say,"To speak or express something in words."
schedule,"A plan for when things will be done."
search,"To look for something."
seat,"A place to sit."
secure,"To make safe or protected."
see,"To perceive with the eyes."
sell,"To exchange something for money."
send,"To cause something to go from one place to another."
sense,"A feeling or perception produced by stimuli."
separate,"To divide or keep apart."
serve,"To provide a service or function."
set,"To put something in a specific position."
settle,"To resolve or make a decision."
share,"To give a portion of something to others."
show,"To make something visible or present it."
shut,"To close something."
sign,"A symbol or gesture that conveys meaning."
simplify,"To make something easier or less complex."
sing,"To produce musical tones with the voice."
sit,"To be in a seated position."
size,"The dimensions or magnitude of something."
skilled,"Having expertise or proficiency in a particular area."
sleep,"To rest in a state of unconsciousness."
slow,"Moving at a low speed."
small,"Of limited size or quantity."
smell,"To perceive something through the sense of smell."
smile,"To form a facial expression that shows happiness."
solve,"To find a solution to a problem."
sort,"To arrange items in a particular order."
sound,"A vibration that can be heard."
speak,"To express oneself through speech."
spend,"To use money to purchase goods or services."
stand,"To be in an upright position on one's feet."
start,"To begin something."
state,"A condition or mode of being."
stay,"To remain in a place."
stop,"To cease or bring something to an end."
study,"To examine or investigate something in detail."
success,"The achievement of a goal or desired result."
suggest,"To propose an idea or course of action."
supply,"To provide something for use."
support,"To give assistance or help."
surround,"To be on all sides of something."
suspend,"To temporarily stop something from happening."
take,"To acquire possession of something."
talk,"To engage in conversation or discussion."
teach,"To impart knowledge or skills to someone."
team,"A group of individuals working together."
thank,"To express gratitude to someone."
think,"To use the mind to consider or reason."
time,"A measurable period during which something happens."
top,"The highest point or surface."
touch,"To make physical contact with something."
trade,"To exchange goods or services."
train,"To prepare or teach someone or something."
travel,"To go from one place to another."
treat,"To handle or deal with something in a specific way."
try,"To make an attempt at something."
turn,"To change direction or orientation."
understand,"To grasp the meaning or significance of something."
use,"To employ something for a specific purpose."
value,"The worth or importance of something."
visit,"To go to see someone or something."
wait,"To remain in a place until something happens."
walk,"To move by foot at a moderate pace."
want,"To desire or wish for something."
watch,"To look at or observe something attentively."
win,"To achieve victory in a competition."
wish,"To desire something strongly."
work,"To perform tasks or activities to achieve something."
world,"The earth or the human population on it."
worry,"To feel anxious or concerned about something."
write,"To compose words or symbols with a pen or keyboard."
year,"A unit of time, equal to 365 or 366 days."
yesterday,"The day before today."
you,"The person or people being addressed."
your,"Belonging to you."
youth,"The period of life when one is young."
zebra,"A large herbivorous mammal native to Africa, known for its distinctive black-and-white striped coat, it is a member of the horse family."
